ID,Household income,Method,education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,car,Volume in lpcd,Shortest distance,Height diff
263,65000,delivered,1,5,0,75,45,2000,not_often,good,4000,0,0,0,0,20,465.28,30
264,80000,delivered,1,4,0,75,30,2000,often,good,7000,0,0,0,0,20,496.23,28
265,55000,delivered,1,3,0,75,40,2000,often,fair,7000,0,0,0,0,20,578.36,35
266,80000,delivered,1,4,0,75,30,2000,not_often,very good,7000,0,0,0,0,20,578.02,21
267,80000,delivered,1,6,0,75,15,1000,not_often,fair,9000,0,0,0,0,10,548.89,15
268,80000,delivered,1,3,0,75,40,2000,not_often,good,7000,0,0,0,0,20,569.17,13
269,80000,delivered,1,3,0,75,15,4000,not_often,fair,11000,0,0,0,0,40,405.76,11
270,80000,delivered,1,4,0,75,30,3000,not_often,good,7000,0,0,0,0,30,380.87,10
271,65000,delivered,1,5,0,75,40,3000,not_often,fair,4000,0,0,0,0,30,351.37,6
272,45000,delivered,1,3,0,75,40,5000,not_often,good,7000,0,0,0,0,50,405.94,8
273,50000,delivered,1,4,0,75,55,5000,often,good,4000,0,0,0,0,50,431,9
274,40000,delivered,1,4,0,75,60,5000,not_often,good,3000,0,0,0,0,50,414.42,8
275,85000,delivered,1,6,0,75,15,3000,not_often,fair,9000,0,0,0,0,30,430.59,8
276,105000,delivered,1,6,0,75,15,3000,often,fair,9000,0,0,0,1,30,475.84,10
277,75000,delivered,1,4,0,75,30,4000,often,fair,7000,0,0,0,0,40,509.01,6
278,85000,delivered,1,6,0,75,15,2000,not_often,good,9000,0,0,0,0,20,576.85,4
279,65000,delivered,1,5,0,75,40,2000,often,good,4000,0,0,0,0,20,606.85,36
280,70000,delivered,1,5,0,75,40,2000,often,good,4000,0,0,0,0,20,597.34,1
281,55000,delivered,3,3,0,75,40,4000,often,good,7000,0,0,0,0,40,588.59,37
282,55000,delivered,1,4,0,75,30,4000,not_often,fair,7000,0,0,0,0,40,534.18,31
283,55000,delivered,1,3,0,75,15,5000,often,fair,11000,0,0,0,0,50,353.01,5
284,55000,delivered,1,6,0,75,15,3000,not_often,fair,9000,0,0,0,0,30,469.66,21
285,55000,delivered,1,4,0,75,60,3000,often,fair,3000,0,0,0,0,30,393.91,12
286,55000,delivered,1,6,0,75,15,3000,not_often,fair,9000,0,0,0,0,30,317.62,11
287,55000,delivered,1,6,0,75,15,6000,not_often,good,9000,0,0,0,0,60,223.62,10
288,70000,delivered,1,5,0,75,40,7000,often,fair,4000,0,0,0,0,70,178.75,11
289,100000,delivered,1,3,0,75,15,9000,often,fair,12000,0,0,0,0,130,242.92,14
290,40000,delivered,1,4,0,75,60,9000,not_often,fair,3000,0,0,0,0,150,47.76,2
291,60000,delivered,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,120,131.19,12
